state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share,result,phone-number,email-address
Assam,Dhubri,ZABED ISLAM,GENERAL,AGP,399733,23.72,3rd place,Not Found,Not Found
Assam,Kokrajhar,Naba Kumar Sarania,ST,IND,484560,32.75,Winner,Not Found,Not Found
Assam,Kokrajhar,Pramila Rani Brahma,ST,BOPF,446774,30.19,2nd place,Not Found,Not Found
Assam,Kokrajhar,Urkhao Gwra Brahma,ST,UPPL,312435,21.11,3rd place,Not Found,Not Found
Assam,Barpeta,Abdul Khaleque,GENERAL,INC,645173,44.23,Winner,Not Found,Not Found
Assam,Barpeta,Kumar Deepak Das,GENERAL,AGP,504866,34.61,2nd place,Not Found,Not Found
Assam,Barpeta,Rafiqul Islam,GENERAL,AIUDF,248667,17.05,3rd place,Not Found,Not Found
Assam,Gauhati,QUEEN OJA,GENERAL,BJP,1008936,57.2,Winner,Not Found,Not Found
Assam,Gauhati,BOBBEETA SHARMA,GENERAL,INC,663330,37.6,2nd place,Not Found,Not Found
Assam,Gauhati,UPAMANYU HAZARIKA,GENERAL,IND,21193,1.2,3rd place,Not Found,Not Found
Assam,Mangaldoi,DILIP SAIKIA,GENERAL,BJP,735469,48.82,Winner,Not Found,Not Found
Assam,Mangaldoi,BHUBANESWAR KALITA,GENERAL,INC,596924,39.63,2nd place,Not Found,Not Found
Assam,Mangaldoi,PRODEEP KUMAR DAIMARY,ST,IND,103870,6.9,3rd place,Not Found,Not Found
Assam,Tezpur,PALLAB LOCHAN DAS,GENERAL,BJP,684166,57.4,Winner,Not Found,Not Found
Assam,Tezpur,M.G.V.K. BHANU,GENERAL,INC,441325,37.03,2nd place,Not Found,Not Found
Assam,Tezpur,BIJOY KUMAR TIRU,GENERAL,IND,23646,1.98,3rd place,Not Found,Not Found
Assam,Nowgong,Pradyut Bordoloi,GENERAL,INC,739724,49.53,Winner,Not Found,Not Found
Assam,Nowgong,Sri Rupak Sharma,GENERAL,BJP,722972,48.4,2nd place,Not Found,Not Found
Assam,Nowgong,NOTA,,NOTA,10757,0.72,3rd place,NA,NA
Assam,Kaliabor,Gaurav Gogoi,GENERAL,INC,786092,55.17,Winner,Not Found,Not Found
Assam,Kaliabor,Moni Madhab Mahanta,GENERAL,AGP,576098,40.43,2nd place,Not Found,Not Found
Assam,Kaliabor,Sri Jiten Gogoi,GENERAL,IND,18344,1.29,3rd place,Not Found,Not Found
Assam,Jorhat,TOPON KUMAR GOGOI,GENERAL,BJP,543288,51.31,Winner,Not Found,Not Found
Assam,Jorhat,SUSHANTA BORGOHAIN,GENERAL,INC,460635,43.5,2nd place,Not Found,Not Found
Assam,Jorhat,KANAK GOGOI,GENERAL,CPI,17849,1.69,3rd place,Not Found,Not Found
Assam,Dibrugarh,RAMESWAR TELI,GENERAL,BJP,659583,64.92,Winner,Not Found,Not Found
Assam,Dibrugarh,PABAN SINGH GHATOWAR,GENERAL,INC,295017,29.04,2nd place,Not Found,Not Found
Assam,Dibrugarh,NOTA,,NOTA,21288,2.1,3rd place,NA,NA
Assam,Lakhimpur,PRADAN BARUAH,ST,BJP,776406,60.47,Winner,Not Found,Not Found
Assam,Lakhimpur,ANIL BORGOHAIN,GENERAL,INC,425855,33.17,2nd place,Not Found,Not Found
Assam,Lakhimpur,NOTA,,NOTA,15220,1.19,3rd place,NA,NA
