state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GENERAL,YSRCP,582024,46.54
Andhra Pradesh,Rajahmundry,AKULA SATYANARAYANA,GENERAL,JnP,155807,12.46
Andhra Pradesh,Rajahmundry,GEDDAM DAVID NELSON BABU,GENERAL,APoI,1757,0.14
Andhra Pradesh,Rajahmundry,BANDARU RAJESWARA RAO,GENERAL,JAJGP,1035,0.08
Andhra Pradesh,Rajahmundry,MEDA SRINIVAS,GENERAL,RPC(S),996,0.08
Andhra Pradesh,Rajahmundry,SANGISETTI SRINIVASA RAO,GENERAL,PPOI,1161,0.09
Andhra Pradesh,Rajahmundry,KURUVELLA BHANUCHANDAR,SC,IND,1242,0.10
Andhra Pradesh,Rajahmundry,KOLLAPU VENU,SC,IND,2869,0.23
Andhra Pradesh,Rajahmundry,NOTA,,NOTA,18087,1.45
Andhra Pradesh,Narsapuram,KANUMURU BAPIRAJU,GENERAL,INC,13941,1.18
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GENERAL,YSRCP,449234,38.10
Andhra Pradesh,Narsapuram,PYDIKONDALA MANIKYALA RAO,GENERAL,BJP,12414,1.05
Andhra Pradesh,Narsapuram,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),GENERAL,TDP,416558,35.33
Andhra Pradesh,Narsapuram,YELLA VENU GOPAL RAO,GENERAL,NVSP,4286,0.36
Andhra Pradesh,Narsapuram,GANJI PURNIMA,GENERAL,RPI(A),869,0.07
Andhra Pradesh,Narsapuram,GURUGUBILLI RAMBABU,GENERAL,MCPI,583,0.05
Andhra Pradesh,Narsapuram,G S RAJU,GENERAL,SP,3471,0.29
Andhra Pradesh,Narsapuram,DASARI KRISHNA MURTHY,GENERAL,IPBP,1603,0.14
Andhra Pradesh,Narsapuram,NALLAM SURYA CHANDRA RAO,GENERAL,PPOI,2210,0.19
Andhra Pradesh,Narsapuram,NAGABABU KONIDELA,GENERAL,JnP,250802,21.27
Andhra Pradesh,Narsapuram,K.A.PAUL,GENERAL,PRSHP,3046,0.26
Andhra Pradesh,Narsapuram,GOTTUMUKKALA SHIVAJI,SC,IND,1275,0.11
Andhra Pradesh,Narsapuram,NALLI RAJESH,SC,IND,2653,0.22
Andhra Pradesh,Narsapuram,MEDAPATI VARAHALA REDDY,GENERAL,IND,2684,0.23
Andhra Pradesh,Narsapuram,NOTA,,NOTA,12109,1.03
Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GENERAL,YSRCP,676809,50.80
Andhra Pradesh,Eluru ,CHINNAM RAMA KOTAYYA,GENERAL,BJP,8412,0.63
Andhra Pradesh,Eluru ,JETTI GURUNADHA RAO,GENERAL,INC,20378,1.53
Andhra Pradesh,Eluru ,MAGANTTI VENKATESWARA RAO BABU,GENERAL,TDP,510884,38.35
Andhra Pradesh,Eluru ,CHINA VENKATA SURYANARAYANA JOSYULA,GENERAL,PPOI,2935,0.22
Andhra Pradesh,Eluru ,PENTAPATI PULLARAO,GENERAL,JnP,76827,5.77
Andhra Pradesh,Eluru ,MATHE. BOBBY,SC,RPI(A),1879,0.14
Andhra Pradesh,Eluru ,V. SIVA RAMA KRISHNA,GENERAL,JAJGP,1261,0.09
Andhra Pradesh,Eluru ,ALAGA. RAVI KUMAR,SC,IND,1648,0.12
Andhra Pradesh,Eluru ,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),SC,IND,3010,0.23
Andhra Pradesh,Eluru ,NOTA,,NOTA,23880,1.79
Andhra Pradesh,Machilipatnam ,KONAKALLA NARAYANA RAO,GENERAL,TDP,512612,41.16
Andhra Pradesh,Machilipatnam ,GUDIVAKA RAMANJANEYULU (ANJI BABU),GENERAL,BJP,6481,0.52
Andhra Pradesh,Machilipatnam ,GOLLU KRISHNA,GENERAL,INC,12310,0.99
Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GENERAL,YSRCP,572850,45.99
Andhra Pradesh,Machilipatnam ,PERAM SIVA NAGESWARA RAO,GENERAL,RPI(A),3627,0.29
Andhra Pradesh,Machilipatnam ,BANDREDDI RAMAKRISHNA,GENERAL,JnP,113442,9.11
Andhra Pradesh,Machilipatnam ,YARLAGADDA RAMA MOHANA RAO,GENERAL,BAHUMP,1017,0.08
Andhra Pradesh,Machilipatnam ,VALLURU VENKATESWARA RAO,GENERAL,PPOI,826,0.07
Andhra Pradesh,Machilipatnam ,GANDHI DHANEKULA,GENERAL,IND,846,0.07
Andhra Pradesh,Machilipatnam ,NADAKUDITI NAGA GAYATHRI,GENERAL,IND,774,0.06
Andhra Pradesh,Machilipatnam ,G. V. N. BASAVA RAO,GENERAL,IND,895,0.07
Andhra Pradesh,Machilipatnam ,VIJAYA LAKSHMI CHALAPAKA,GENERAL,IND,4789,0.38
Andhra Pradesh,Machilipatnam ,NOTA,,NOTA,14101,1.13
Andhra Pradesh,Vijayawada,KILARU DILEEP,GENERAL,BJP,18504,1.45
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GENERAL,TDP,575498,45.04
Andhra Pradesh,Vijayawada,NARAHARISETTY. NARASIMHARAO.,GENERAL,INC,16261,1.27
